FLastName, Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
a36070ba926a06dd6fa79c651c22faff1ad5550740dc7e34ab3ec6b84511c278,1,01/16/2025 9:30,01/16/2025 9:32,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,38,UnChecked,0,1
15ef7bfb6236815cfa76ba730f7784e97dac6f5c3cc3609e6c533726b655ef5f,1,01/16/2025 9:30,01/16/2025 9:32,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,39,UnChecked,0,1
dc8e2e42ab5d3028b035472efa277cc16f3c7ecb6e80632a34c36ab9d29ebbbe,1,01/16/2025 9:30,01/16/2025 9:32,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,40,Checked,0,1
c73a9a7ca4e8be5d204cbdc1e503db18aaccc2d01c7d0289e426daf310512986,1,01/16/2025 9:30,01/16/2025 9:32,,1,MC,,"What is the answer to life, the universe, and everything?",FALSE,1,41,UnChecked,0,1
4c8b62597d7ca3ca16350657baeef22219899f2b94912e3df0e482f7df88c384,1,01/16/2025 9:30,01/16/2025 9:32,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,25%,UnChecked,0,1
ba2dedc31362b1f75d1be59f5d532047373bad6b2967a5af0d5c97638eb0f917,1,01/16/2025 9:30,01/16/2025 9:32,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,50%,UnChecked,0,1
185dcd4b6c701bfd96f8a550f27ce0e1f2e862fa5aeb52814bafb98c65ef7d1b,1,01/16/2025 9:30,01/16/2025 9:32,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,60%,UnChecked,0,1
f1efe2ca52316d969dd034826c93693a7b5a788708c9b808a29f1b2de9ddf7ac,1,01/16/2025 9:30,01/16/2025 9:32,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",FALSE,1,25%,Checked,0,1
f1efe2ca52316d969dd034826c93693a7b5a788708c9b808a29f1b2de9ddf7ac,1,01/16/2025 9:30,01/16/2025 9:32,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",FALSE,1,TRUE,UnChecked,0,1
05dc87838b646592b3ad691e1d17e8895b8ac896228597272df559451744335b,1,01/16/2025 9:30,01/16/2025 9:32,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",FALSE,1,FALSE,Checked,0,1
